name = model_decor_sparse_t_reg_26, n_topics = 2000, n_doc_passes = 5, seed_value = 100, n_iterations = 15, n_top_tokens = 15, p_threshold = 0.25
sparse_theta_regularizer, tau = 0.1
decorrelator_phi_regularizer, tau = 100
last_perplexity_score = 449.789538458
last_sparsity_phi_score = 0.889678967528
last_sparsity_theta_score = 0.0
last_topic_kernel_avgsize = 5.6895
last_topic_kernel_purity = 0.406288950802
last_topic_kernel_contrast = 0.43322699481
perplexity_score = [17381.549243901325, 4361.011323267947, 4780.770594285123, 3887.7493084543785, 3582.1555140878845, 2049.9491312908062, 1344.6393146808173, 935.3705989412928, 742.7150716615478, 638.3155967432283, 571.8695286479468, 524.1918964127484, 491.96160910552857, 467.12317571078967, 449.78953845801266]
sparsity_phi_score = [0.0, 0.001811256574434027, 0.001811256574434027, 0.0035447633203750284, 0.006472558884061285, 0.013717670935284702, 0.023775383032243313, 0.03652532586325177, 0.060367710953578776, 0.12927729819345987, 0.31523479304825064, 0.5164976274868511, 0.7021215984450034, 0.8221531271438371, 0.8896789675280128]
sparsity_theta_score = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
topic_kernel_avgsize = [0.0, 0.0, 0.0005, 0.047, 1.001, 2.4665, 3.984, 4.725, 4.9355, 4.9535, 5.151, 5.2535, 5.414, 5.5625, 5.6895]
topic_kernel_purity = [0.0, 0.0, 0.00015648090839385985, 0.001140791954647284, 0.009903336851733911, 0.02782988910783024, 0.048928952575297446, 0.06871617414323555, 0.08874759825355431, 0.10703843402160601, 0.13174488112321298, 0.1762471349809432, 0.24360031559494383, 0.32942054162568457, 0.40628895080187793]
topic_kernel_contrast = [0.0, 0.0, 0.00019076119185820723, 0.004144167027441683, 0.03156790933157876, 0.07503681186903463, 0.1199336884460348, 0.15385152519197262, 0.18618613782575058, 0.2150106932067513, 0.24189950845562425, 0.27757127468078174, 0.32066032545614903, 0.3801227993173031, 0.43322699480956156]
topic_0: ухудшение престиж британия важный_часть работоспособность звёздочка внешний_фактор произношение неспособность материальный_ресурс осанка отличительный_признак приток разный_задача дегенерация
topic_546: китай сша япония ес бразилия индия брик торговля азия член мексика мера рост потенциал политика
topic_547: кавказ северный_кавказ эдвард бобровник титул бум турция саид письменный_памятник восток исторический_наука трансляция бой недавний_история пророк
topic_548: канон легенда коллективный_память пресса профессиональный_историк страшилка бедствие трагедия дальний_родственник просветитель основной_источник определённый_трудность эпопея подвиг житель_город
topic_549: право добросовестность социология_право судья организация кодекс правовой_культура суд римский_право усмотрение иск правовой_система предел социология правовой_норма
topic_550: фрейд интерес психоанализ зависимость существование степень зигмунд_фрейд сознание крайний_мера дисциплина труд первое восприятие поиск соответствие
topic_551: взрослый детство ребёнок дом игрушка младенец старое нея ёлка иисус понимание набор огромный_количество новый_смысл отсылка
topic_552: жертва_бог благосклонность шантаж жертвоприношение пророчество город_майя житие канва проповедь мезоамериканский_культура политический_структура археологический_культура высокий_средневековье портфель профессиональный_деятельность
topic_553: этнический_группа обязательство радикал река помещик посредство западный_часть монархия выступление расовый_признак потенция возражение образовательный_система чех стандартный_набор
topic_554: неандерталец тысяча кроманьонец предок африка человечество пещера происхождение извержение концепция вымирание европа сапиенс порядок извержение_вулкан
topic_555: пища питание малярия кэмпбелла соль еда земледелие молоко охотник зерно физиология концепция рацион урожай основание
topic_556: кража правонарушение нанесение_ущерб санкция основный_отличие уплата римлянин оскорбление штраф деликт частное_право уголовный_кодекс римский_право бельгия иск
topic_557: квантовый_физик современный_математика сердцебиение трамвай размер_атом заряд_электрон лазер квантовый_эффект демокрит свойство_частица политический_ситуация число_частица водородный_связь закон_мура сложный_квантовый_система
topic_558: середина_xix_век рельс восточный_побережье турбулентность исходный_материал психологический_исследование копейка геохронологический_шкала многий_отношение тёмный_пятно английский_учёный протозвезда численный_модель ансамбль стул
topic_559: социолог социология социологический_теория социологический_исследование социология_дюркгейм вебер призыв республиканец проблематизация стечение_обстоятельство эскапизм самоконтроль самоопределение основной_вопрос хатчинсон
topic_560: днк генетический_информация цепочка молекула_днк структура_днк уотсон крик болезнь двойной_спираль белок бактерия геном последовательность_днк нуклеиновый_кислота молекула
topic_561: записка портфель смерть_автор средневековый_история археологический_культура инь политический_структура десталинизация государственный_управление плутарх история_народ ким социальный_слой период_история образ_мышление
topic_562: еврей третье_рейх происхождение христиана антисемитизм кровь историография положение первое убийство виновный погром отказ убеждение близкие
topic_563: ионный_канал заход наиболее_яркий_пример токсин тормоз ядерный_магнитный_резонанс аптека биомолекула панель ядро_клетка атомарный_уровень английский_термин корректность набор_инструмент биохимический_процесс
topic_564: праязык реконструкция сходство лексика заимствование название исторический_языкознание тюрк народ список основание латынь лингвист общий_предок реконструкция_праязык
topic_565: вертикаль реалия разный_регион шар художник господь_бог художественный_произведение литератор отец_церковь массовый_культура исторический_развитие конфессия туземец священнослужитель университетский_профессор
topic_566: газовый_гигант группа_пациент имянаречение правый_часть реликтовый_излучение компартмент аналогичный_проблема инфляционный_теория энтомолог антивещество теломераза белые_карлик связующий_звено фундаментальный_взаимодействие свободный_энергия
topic_567: литературный_произведение русский_литература режиссёр современный_театр история_культура конец_xix_век постмодернизм основной_функция щит бесчисленный_количество массовый_производство авангардный_искусство палата чехов сестра
topic_568: доктор эстетик кадр марксизм история_философия тройка двоечник студенчество ленинизм платон балл хабермас апелляция полушарие кант
topic_569: вселенная неоднородность реликтовый_излучение ранний_вселенная галактика измерение космология гравитационный_волна плазма флуктуация эпоха скопление_галактика стадия расширение_вселенная инфляция
topic_570: прошлое политика_память концепция российский_федерация политика российский_государство политика_идентичность интерпретация постсоветский_россия определённость праздник исторический_политика основание политик наличие
topic_571: простуда детский_дом продукт_жизнедеятельность инфекция механизм_защита вакцинация теломераза жеребец бедро количество_клетка артериальный_давление лейкоз летучий_мышь синус реконструкция_праязык
topic_572: противоречие разный_форма основный_проблема разный_тип интуиция обозначение отрывок теоретический_социология скептик расчёт научный_дисциплина несостоятельность отрицание проблематизация маркс
topic_573: подробный_описание ракурс даба рациональный_объяснение кратасюк политический_протест микрокосм ящик кинематографист типичный_ситуация ворона наделение филологический_факультет_мгу голландия метрика
topic_574: сходство антология интеллектуальный_деятельность известный_история современный_учёный вопрос_открытый макс_вебер лоб карл_маркс инициатор бездна импровизация занудство пионер исследовательский_работа
topic_575: чума теломераза рекордсмен группа_пациент антивещество логарифм разный_национальность прогрессия полиненасыщенный_жирный_кислота поверхность_нейтронный_звезда микрофон свойство_мембрана двойной_спираль_днк лейкоз компартмент
topic_576: холодный_война оптик национальный_интерес оптика судьба провайдер семенов субъект развитие_общество уважение классический_подход деятель человечество марин предприятие
topic_577: маленький_ребёнок глобальный_система папа_григорий теломераза сильный_стимул шельф происхождение_современный комсомол количество_клетка афина полиненасыщенный_жирный_кислота атеросклероз теоретический_построение влияние_внешний коммерческий_банк
topic_578: описание ряд мах первое равновесие явление кинетический_теория энтропия больцман уравнение больцмана основание обобщение физика термодинамика
topic_579: термин буддизм практика школа трактовка выброс китай удержание фраза трактат учитель си столбцы написание десятка
topic_580: макрофаг склонение обучение_язык отдельный_группа область_лингвистика разный_слово теломераза количество_клетка компартмент клавиатура группа_пациент папа_григорий реконструкция_праязык торг лейкоз
topic_581: кроветворный_стволовой_клетка свёртывание_кровь инвазия структурный_перестройка макрофаг врождённый_иммунитет шрам промышленный_производство лейкоз миокард теломераза эндотелий стафилококк большой_успех полиненасыщенный_жирный_кислота
topic_582: аляска остров корабль колония компания российско рак сибирь кругосветный_путешествие российский_империя тихий_океан американский_компания колонист калифорния америка
topic_583: наследие болгария западный_германия брехт киев порождение составитель державин изобразительный_искусство купцов автономия обойма религиозный_философия история_русский путеводитель
topic_584: английский_язык точный_наука общий_тенденция русский_учёный фундаментальный_задача стимулирование федерация отдельный_учёный оценка_эффективность конгресс научный_организация научный_институт презумпция научный_коллектив русист
topic_585: постоянный_скорость движение_планета рябь пересчёт уилера система_отсчёт кеплер точка_пространство метрика стрежень мелкий_масштаб движение_частица доступный_язык координатный_сетка линейный_уравнение
topic_586: урок боев конкретный_группа спиральный_структура описание_процесс протяжение_столетие определённый_область аспирант тираж социальный_сфера посещение эволюционист крепостной_право социальный_движение любимый_тема
topic_587: знак марь историк_дин_гусейнов дин_гусейнов маша дюма исторический_память европейский_общество субъект_история главный_герой кривой пересказ привилегированный_положение волшебник оригинал
topic_588: работодатель увлечение странный_ситуация логический_анализ структура_вселенная возражение муж жена олигарх семихат понимание_термин недоумение негативный_последствие адронный_коллайдер зрелый_возраст
topic_589: русский_язык сообщение цифра кириллица буква написание орфография латинский_буква влияние передача латиница поколение норма использование алфавит
topic_590: мат запрет лексика театр проявление средство русский_культура явление речь драматургия современный_россия замена условность степень литературный_язык
topic_591: ход заблуждение разновидность клиент присутствие товар сопротивление версия функция_полезность размышление впечатление стратегический_взаимодействие мотив лабиринт поступок
topic_592: утверждение латур реальность реалия практика лаборатория шаг запись допущение ответ гормон множество модальность художник кривая
topic_593: процедура выбор избиратель предпочтение голосование принятие_решение манипулирование кандидат альтернатива выборы голос плата большинство американский_учёный большинство_голос
topic_594: тиран открытый_имя чума положительный_результат церковный_власть филипп_iv_красивый американский_компания король_франция замечательный_открытие еретик возраст_звезда торг многий_заболевание теломераза компартмент
topic_595: особый_труд свойство_частица энергия_столкновение фундаментальный_взаимодействие антипротон ядерный_сила зона_проводимость синус теломераза реликтовый_излучение антивещество взаимодействие_частица современный_физик поверхность_нейтронный_звезда темп_расширение_вселенная
topic_596: пост значение_слово глава носитель_язык версия ассоциация обработка_текст эпоха автомат основатель страсть создатель запрос поисковый_система мнение
topic_597: архитектура мавзолей архитектор сооружение здание проект ленин вариант красный_площадь чёрный народ зал эскиз множество ар
topic_598: гормон поведение форма_поведение поведение_животное этология отличие окситоцин активность тинберген дружба сигнал основание закономерность бог биолог
topic_599: планирование пояс нахождение образующая соблюдение администрация часть_население достижение_успех экономический_развитие интуиция ключевой_слово тяжёлый_промышленность городской_развитие видение альянс
topic_600: вахштайна стэнфордский_университет трансценденция декартов физический_пространство влияние_внешний хайдеггер тёща долгосрочный_план простой_решение определённый_обстоятельство великан сцепление папа_григорий полный_соответствие
topic_601: репрезентация связность иконография мыслитель достоверность имитация рон филип важный_феномен популяризация американский_социолог гуманитарный_знание говард предводитель помощь_инструмент
topic_602: предмет_изучение пул джеффри мультфильм кровь часть_история ирония доцент_кафедра практический_философия известный_явление боевик литр квира маньяк гора
topic_603: громадный_количество уровень_экспрессия изучение_природа полисахарид генетический_инженерия пенициллин активация_нейрон положение_тело эмбриональный_клетка липид полимер нефть сеанс морской_отложение теломераза
topic_604: реактор уран плутоний ядерный_энергетика бомба развитие атомный_энергетика ядерный_оружие топливо быстрый_нейтрон основа безопасность человечество сша ядерный_технология
topic_605: картина художник венеция мастер эрмитаж младенец лукреция запись ангел дом сан первое собрание биография лира
topic_606: паровоз теломераза режим_реальный папа_григорий культурный_влияние конрад количество_клетка аналогичный_проблема группа_пациент имянаречение акционер двойной_спираль_днк прогрессия компартмент законодательный_собрание
topic_607: теломераза полиненасыщенный_жирный_кислота группа_пациент энергия_столкновение биополимер папа_григорий возраст_звезда социология_пространство поверхность_нейтронный_звезда косвенный_признак частица_свет масса_протон антивещество свойство_частица белые_карлик
topic_608: политический_теория политический_наука становление алан_тьюринг философ аналитический_философия научный_дисциплина джон разум мысленный_эксперимент русский_язык теоретический_результат витгенштейн мозги проблематика
topic_609: бунт великий_французский_революция симбиоз приоритет настроение вертикаль_власть новый_идеология современный_общество лозунг господин серьёзный_проблема синоним форма_правление страта аналитический_философия
topic_610: деятельность рамка интерференция взаимодействие эффект выбор люба появление переключение набор мюллер формирование торможение психология феномен
topic_611: теломераза частица_свет горячее_юпитер поверхность_нейтронный_звезда возраст_звезда имянаречение белые_карлик папа_григорий свойство_частица образование_звезда темп_расширение_вселенная зона_проводимость антивещество реконструкция_праязык маленькая_галактика
topic_612: католический_церковь папа ватикан контакт архиепископ российско встреча престол москва представитель глава ссср кардинал епископ ход
topic_613: загрязнение малое_город предприятие выброс доля экологический_проблема москва крупный_город сжигание российский_город влияние тысяча станция численность_население кризис
topic_614: переживание психический_травма меланхолия скорбь концлагерь травма убеждение травматический_событие враждебность шок концепция лагерь российский_культура потеря средство
topic_615: фундаментальный_наука прорыв результат_исследование патент секретность приоритет публикация получение фундаментальный_исследование сведение обсерватория технологический_прогресс режим разговор открытость
topic_616: стресс организм кровяной_давление генетический_особенность ответ механизм метилирование адреналин активность заболевание регуляция окисление маркер жизнедеятельность ген
topic_617: матерь мать женщина ребёнок материнство нея мужчина муж семья отец контракт образование усилие развитие чаща
topic_618: безработица рабочий часы процент труд работник заработный_плата развивающийся_страна неделя большинство население экономист богатый_страна доход бедный_страна
topic_619: всякий_случай героиня мемуары принцесса судьба карьера землетрясение стиль беседа эпопея писательница свет повод критика неклюдов
topic_620: всеобщность национальный_политика теломераза компартмент особый_качество волков большинство_население юный_возраст институт_проблема_правоприменение дон_кихот тёща прогрессия еретик федерализм искажённый_представление
topic_621: тарантино математический_физика синус возраст_звезда фундаментальный_взаимодействие имянаречение компартмент юный_возраст ядерный_сила близкие_галактика парижский_коммуна годар описание_ситуация реконструкция_праязык спаситель
topic_622: максимум вычислительный_система суперкомпьютер человеческий_мозг проблема_сознание ближний_будущее система_искусственный_интеллект человеческий_сознание вычислительный_мощность мощность ум воспроизведение машинный_обучение область_искусственный_интеллект социальный_взаимодействие
topic_623: космический_корабль микрофлора космонавт станция безопасность выход конденсат космический_полёт бактерия аппарат иммунитет рост мероприятие формирование инфекция
topic_624: обезьяна доктор_биологический_наука человекообразный_обезьяна сигнальный_система отражение ранний_стадия американец кавычка антропоид холодильник сигнал приматолог обобщение соты общий_предок
topic_625: плач кортизола смелость многий_причина аутентичность ацетилхолин член_сообщество старина коммуникативный_функция молоко тонус лука защитный_реакция надпочечник внешний_раздражитель
topic_626: дарвин биология открытие эволюция биолог форма_жизнь нанотехнология страница происхождение_жизнь труд живой_организм успех чарльз ум русский_перевод
topic_627: тип употребление чаща отличие использование нея род сожаление фактор ряд степень характер характеристика ответ наблюдение
topic_628: степень учёный_степень экзамен диссертация старое список защита научный_степень магистр увар университет защита_диссертация аспирантура попечитель петербургский_университет
topic_629: основный_особенность диод обратимость макрофаг электрический_пол старина ким опухолевый_клетка средневековый_история теломераза смерть_автор склонение группа_пациент десталинизация плутарх
topic_630: интервал интересный_явление убийца новый_подход оптический_система преобразование усиление рамка_теория бурный_развитие считывание повреждение автор_статья волновой_процесс луч космический_аппарат
topic_631: социальный_жизнь социальный_порядок течение_многий меньший_степень ведение определённый_ситуация известный_пример личностный_качество социальный_группа велосипед социальный_структура причина_появление определённость разный_точка_зрение полевой_исследование
topic_632: теломераза темп_расширение_вселенная ядерный_сила увеличение_энергия свободный_энергия фундаментальный_взаимодействие теория_квантовый_гравитация возраст_звезда частица_свет уголок_вселенная палеоантропология папа_григорий реликтовый_излучение планковский_длина связующий_звено
topic_633: деньга средство дефолт характер валюта сумма монета распространение доллар игрок ход контроль зависимость чистый_форма накопление
topic_634: отход мусор метан полигон переработка захоронение микроорганизм твёрдый_бытовой_отход способ разложение газ условие слой свалка получение
topic_635: интеллигенция марксист маркс капитализм тюрьма воспроизводство плата евразия гегемония рабство различный_форма литр энгельс массовый_культура советский_россия
topic_636: спектр молекула спектроскопия одиночный_молекула свечение органический_молекула вещество раствор краситель концентрация новое_направление спектральный_анализ окружение источник_свет матрица
topic_637: взрыв нейрофизиолог зигзаг языковой_выражение случайный_набор экран высказывание родной_язык длинный_предложение грамматика овладение_язык регулярность короткий_срок обозначение инопланетянин
topic_638: палеонтолог лишайник палеозойский_эра динозавр наземный_экосистема палеонтологический_летопись оледенение морской_отложение фауна кайнозой группа_животное формообразование мел эволюционный_изменение красивый_картинка
topic_639: биологический_система таргетный_препарат биохимия иммунология различный_заболевание центр_детский_гематология специальный_клетка метод_терапия антиген раковый_заболевание аналитический_метод тест исследовательский_группа сродство основной_направление
topic_640: раскопка папа_григорий грузия бронза планковский_длина люси быстрый_развитие издательство_политический_литература определённый_состояние синус индоевропейский_язык увеличение_энергия бесконечный_множество линейный_уравнение реликтовый_излучение
topic_641: реликтовый_излучение темп_расширение_вселенная частица_свет ярка сумма_угол грузин зона_проводимость антивещество поверхность_нейтронный_звезда реконструкция_праязык разный_цвет магний точка_орбита белые_карлик синус
topic_642: неравенство барьер вмешательство нарушение общественный_мнение угроза неопределённость обыватель правильный_решение сопротивление ствол консенсус большой_возможность статус поисковый_система
topic_643: шимпанзе жир макака мышца орган эволюция отличие липид геном почка метаболит сравнение мозг_шимпанзе маленькая_молекула человеческий_мозг
topic_644: превращение испытание порог модификация частота динамика амплитуда бабочка разный_структура шест проведение туман лягушка медуза личинка
topic_645: домен италия богословие история_искусство принстон невозможность историк_искусство архитектура изобразительный_искусство лада новый_идея хороший_смысл мюнхен нацизм настрой
topic_646: сумка укладка филогения последовательность_аминокислота ветка многозначность деннис кончик бактериофаг детёныш тендер рецептор молния шрифт дума
topic_647: преимущество экран проверка_гипотеза модельный_организм путь_развитие сестра высокий_разрешение генетический_разнообразие отвлечение обработка анализ_текст хроматин отслеживание выполнение комбинация
topic_648: перспектива модальность набор стимул явление цвета феномен гипотеза когнитивный_механизм восприятие ощущение младенец сходство чаща сканирование
topic_649: общественный_договор общественный_устройство самоуправление рабство равный_степень демократический_общество кодекс экспорт догма законодатель восстание политический_жизнь культурный_контекст жак_руссо свобода_слово
topic_650: балл железный_дорога магнитный_свойство материаловед сталь закалка герц шина розетка никель градация северный_полюс правый_рука компас никакой_сила
topic_651: прогресс зеркальный_нейрон отличие творческий_мышление ген имитация следующий_поколение поведение предок поколение эволюция половый_отбор голов наблюдение способность
topic_652: современный_исследование сакс дыхание десятка_тысяча охотник пыльца лихорадка генетический_последовательность призма восточный_германия спутник ясли практический_аспект давность обида
topic_653: число новое ряд большинство интерес чаща явление название множество люба крайний_мера нея сожаление мера старое
topic_654: азот углерод случайный_событие кислород деформация обратный_эффект дивергенция ящерица основный_элемент данный_явление толща_вода стабильный_изотоп оболочка_земля вулканизм мышечный_ткань
topic_655: объектив хороший_кандидат жанна_резников сидение усов правша столбовой_дорога солнечный_батарея экзотический_объект некоторый_ограничение поток_фотон пигмент страничка лазер опухолевый_клетка
topic_656: евразия раскол дата отечество национализм тьма повести адрес альманах материк дневник критик соблазн православие милиция
topic_657: крылов цензор журнал цензура граф статья письмо лист издатель издание плата москва затруднение обстоятельство просьба
topic_658: значение частность функция организация явление знак люба нея род фактор иной_значение существование аналогия целое создание
topic_659: биология школьник лаборатория ученик набор зверюшка подача_материал учебник масштаб экология поведение_животное практика наследование логический_мышление вера
topic_660: япония японец остров китай эпоха фактор природа восток качество мор материк варвар территория размер империя
topic_661: точка секунда расчёт вода явление масштаб применение порядок разрешение геометрия гидродинамика миллисекунда точность единица гораздо_чаща
topic_662: теломераза определённый_обстоятельство акционер великан страховой_компания опьянение вулкан афина юный_возраст папа_григорий группа_пациент компартмент возраст_звезда лейкоз простой_решение
topic_663: юный_возраст штраус полиненасыщенный_жирный_кислота теломераза большой_потомство свободный_энергия имянаречение жеребец брачный_отношение наркомания возраст_звезда поверхность_нейтронный_звезда количество_клетка репродуктивный_возраст подростковый_возраст
topic_664: школа школьник преподавание обществознание класс образование предмет урок школьный_курс курс подготовка требование формирование выбор средний_школа
topic_665: созвездие разделение звёздный_небо атлас карта птолемей астроном список небо звезда каталог эпоха оформление история_человечество орёл
topic_666: площадь пространство здание урбанизм власть территория выступление москва простор режим рабочий размер ощущение революция стиль
topic_667: известный_феномен фазовый_переход свойство_частица теломераза антивещество иск институт_ядерный_физика колпак поверхность_нейтронный_звезда фундаментальный_взаимодействие энергия_столкновение ограничение_снизу возраст_звезда количество_клетка группа_пациент
topic_668: трудность кнопка столкновение обучение серия жертва паразит детёныш показатель проба добыча различный_тип задание фермер мышь
topic_669: регистрация современный_технология лайк наслаждение детальный_описание научный_дискуссия чтение_мозг уникальный_особенность намерение новое_литературный_обозрение городской_повседневность естественный_условие отпуск университет_иннополис безграмотность
topic_670: сюжет эпизод препятствие повесть нора удовольствие персонаж финал нервный_сеть сокровище эпитет корень ос эволюционный_преимущество поворотный_момент
topic_671: женщина родительство семья мотив ребёнок родитель мужчина рождение_ребёнок отец беременность воспитание_ребёнок суррогатный_материнство пробирка деторождение отцовство
topic_672: предложение пресуппозиция множество мироздание ворон кошелёк вася старушка понимание ворона волга содержание большинство предмет высказывание
topic_673: приписывание математический_теория юбка имянаречение серьёзный_последствие годар микрофон тарантино плакат трансценденция теломераза комнатный_температура синус возраст_звезда папа_григорий
